workload,operation,backend,device,status,n_samples,n_features,repetitions,seconds_per_operation,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
kernel_catalog_rational_quadratic,parameter_hvp,numpy_oracle,cpu,pass,256,3,24,,4714.114408329806,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_rational_quadratic,parameter_hvp,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_rational_quadratic,input_derivatives,numpy_oracle,cpu,pass,256,3,24,,5.638041401047623,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_rational_quadratic,input_derivatives,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_cosine,matrix,numpy_oracle,cpu,pass,256,3,24,,15697.934506485282,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_cosine,matrix,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_cosine,matrix_jvp,numpy_oracle,cpu,pass,256,3,24,,-2302.0149725521887,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_cosine,matrix_jvp,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_cosine,parameter_vjp,numpy_oracle,cpu,pass,256,3,24,,54940.21907346092,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_cosine,parameter_vjp,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_cosine,parameter_hvp,numpy_oracle,cpu,pass,256,3,24,,-4513.741829168794,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_cosine,parameter_hvp,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_cosine,input_derivatives,numpy_oracle,cpu,pass,256,3,24,,9.255107954139818,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_cosine,input_derivatives,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_polynomial,matrix,numpy_oracle,cpu,pass,256,3,24,,3052936.2640542462,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_polynomial,matrix,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_polynomial,matrix_jvp,numpy_oracle,cpu,pass,256,3,24,,303970.609716568,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_polynomial,matrix_jvp,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_polynomial,parameter_vjp,numpy_oracle,cpu,pass,256,3,24,,17207786.859286882,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_polynomial,parameter_vjp,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_polynomial,parameter_hvp,numpy_oracle,cpu,pass,256,3,24,,1594866.815255227,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_polynomial,parameter_hvp,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_polynomial,input_derivatives,numpy_oracle,cpu,pass,256,3,24,,59.905102830693444,0.0,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,reference checksum; not a timing
kernel_catalog_polynomial,input_derivatives,fortml,cuda,unavailable,256,3,24,,,,typed_device_contract,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,typed refusal: resident CUDA kernel is not linked for this leaf
kernel_catalog_periodic,matrix,fortml,cpu,pass,256,3,24,0.0012862314166666668,24256.846118035402,6.184563972055912e-11,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_periodic,matrix_jvp,fortml,cpu,pass,256,3,24,0.0017005760416666665,677.0073185185807,1.505076170360553e-07,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_periodic,parameter_vjp,fortml,cpu,pass,256,3,24,0.0015931498333333332,50298.982421223,1.4551915228366852e-10,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_periodic,parameter_hvp,fortml,cpu,pass,256,3,24,0.0027435152083333334,412.9761605678652,2.1705648123315768e-07,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_periodic,input_derivatives,fortml,cpu,pass,256,3,24,0.0,248.1514204972911,7.940455191146611e-06,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_rational_quadratic,matrix,fortml,cpu,pass,256,3,24,0.0010054957083333333,50910.49024246844,4.0745362639427185e-10,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_rational_quadratic,matrix_jvp,fortml,cpu,pass,256,3,24,0.0010869797083333332,3698.146466015379,5.198285180085804e-07,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_rational_quadratic,parameter_vjp,fortml,cpu,pass,256,3,24,0.0010149197083333334,57088.64194783558,2.1827872842550278e-10,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_rational_quadratic,parameter_hvp,fortml,cpu,pass,256,3,24,0.002389486375,4714.1144077901845,5.396213964559138e-07,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_rational_quadratic,input_derivatives,fortml,cpu,pass,256,3,24,0.0,5.638042699870449,1.2988228261789914e-06,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_cosine,matrix,fortml,cpu,pass,256,3,24,0.0008491239583333334,15697.934506485091,1.9099388737231493e-10,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_cosine,matrix_jvp,fortml,cpu,pass,256,3,24,0.0010354417083333334,-2302.0149723559875,1.9620119928731583e-07,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_cosine,parameter_vjp,fortml,cpu,pass,256,3,24,0.00098611625,54940.21907346088,3.637978807091713e-11,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_cosine,parameter_hvp,fortml,cpu,pass,256,3,24,0.0015120002083333333,-4513.741828748708,4.2008559830719605e-07,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_cosine,input_derivatives,fortml,cpu,pass,256,3,24,0.0,9.255108019336692,6.519687367756433e-08,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_polynomial,matrix,fortml,cpu,pass,256,3,24,0.0016979448333333334,3052936.264054246,4.656612873077393e-10,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_polynomial,matrix_jvp,fortml,cpu,pass,256,3,24,0.0017902045,303970.60980361985,8.705182699486613e-05,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_polynomial,parameter_vjp,fortml,cpu,pass,256,3,24,0.0008385172916666666,17207786.859286748,1.341104507446289e-07,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_polynomial,parameter_hvp,fortml,cpu,pass,256,3,24,0.0024535374999999997,1594866.8158559557,0.0006007286719977856,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
kernel_catalog_polynomial,input_derivatives,fortml,cpu,pass,256,3,24,0.0,59.905126649107366,2.3818413922072068e-05,independent NumPy central-product oracle,3.14.6,2.5.1,451bfc9bdd38327aacb110decd5e546b17fb3c55,2ab0d1d9912618498cfb43cc9f18d71415ee6270,gfortran,-O3,release app; host CPU timing
