workload,phase,variant,backend,device,status,n_samples,n_features,n_hidden,epochs,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,sklearn_version,torch_version,jax_version,xgboost_version,fortml_revision,benchmark_revision,compiler,flags,notes
simple_imputer,transform,constant,numpy_oracle,cpu,pass,12,4,,,128,1.2819452877010917e-06,transform_sum,73.95852913857286,0.0,independent NumPy NaN statistic and piecewise derivative rules,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,fill_value=-0.25
simple_imputer,jvp,constant,numpy_oracle,cpu,pass,12,4,,,128,1.1769061529776081e-06,jvp_sum,-0.003388255593980231,0.0,independent NumPy NaN statistic and piecewise derivative rules,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,fill_value=-0.25
simple_imputer,vjp,constant,numpy_oracle,cpu,pass,12,4,,,128,1.1787813036789885e-06,vjp_sum,49.120000000000005,0.0,independent NumPy NaN statistic and piecewise derivative rules,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,fill_value=-0.25
mlp_training,fit,sgd,fortml,cpu,pass,96,3,8,24,4,0.00158590975,final_loss,0.002594865845438612,2.7755575615628914e-16,complete NumPy SGD/Nesterov prediction and loss arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,release app fortml_bench_training; initial_loss=0.02940105783280258
mlp_training,fit,nesterov,fortml,cpu,pass,96,3,8,24,4,0.00127001225,final_loss,0.0025460582678558637,3.885780586188048e-16,complete NumPy SGD/Nesterov prediction and loss arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,release app fortml_bench_training; initial_loss=0.02940105783280258
simple_imputer,fit,mean,fortml,cpu,pass,12,4,,,32,1.361875e-07,fit_sum,8.194186247190618,0.0,complete NumPy NaN statistic/transform/JVP/VJP arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,missing entries use fitted statistic; derivative entries are zero
simple_imputer,transform,mean,fortml,cpu,pass,12,4,,,128,8.4765625e-08,transform_sum,98.33023496628743,0.0,complete NumPy NaN statistic/transform/JVP/VJP arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,missing entries use fitted statistic; derivative entries are zero
simple_imputer,jvp,mean,fortml,cpu,pass,12,4,,,128,1.06921875e-07,jvp_sum,-0.003388255593980231,0.0,complete NumPy NaN statistic/transform/JVP/VJP arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,missing entries use fitted statistic; derivative entries are zero
simple_imputer,vjp,mean,fortml,cpu,pass,12,4,,,128,1.2328125e-07,vjp_sum,49.120000000000005,0.0,complete NumPy NaN statistic/transform/JVP/VJP arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,missing entries use fitted statistic; derivative entries are zero
simple_imputer,fit,median,fortml,cpu,pass,12,4,,,32,1.96625e-07,fit_sum,7.371011176814433,0.0,complete NumPy NaN statistic/transform/JVP/VJP arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,missing entries use fitted statistic; derivative entries are zero
simple_imputer,transform,median,fortml,cpu,pass,12,4,,,128,8.328125e-08,transform_sum,95.85055149220173,0.0,complete NumPy NaN statistic/transform/JVP/VJP arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,missing entries use fitted statistic; derivative entries are zero
simple_imputer,jvp,median,fortml,cpu,pass,12,4,,,128,1.0621875e-07,jvp_sum,-0.003388255593980231,0.0,complete NumPy NaN statistic/transform/JVP/VJP arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,missing entries use fitted statistic; derivative entries are zero
simple_imputer,vjp,median,fortml,cpu,pass,12,4,,,128,1.23203125e-07,vjp_sum,49.120000000000005,0.0,complete NumPy NaN statistic/transform/JVP/VJP arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,missing entries use fitted statistic; derivative entries are zero
simple_imputer,fit,constant,fortml,cpu,pass,12,4,,,32,1.076875e-07,fit_sum,-1.0,0.0,complete NumPy NaN statistic/transform/JVP/VJP arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,missing entries use fitted statistic; derivative entries are zero
simple_imputer,transform,constant,fortml,cpu,pass,12,4,,,128,8.40625e-08,transform_sum,73.95852913857286,0.0,complete NumPy NaN statistic/transform/JVP/VJP arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,missing entries use fitted statistic; derivative entries are zero
simple_imputer,jvp,constant,fortml,cpu,pass,12,4,,,128,1.05984375e-07,jvp_sum,-0.003388255593980231,0.0,complete NumPy NaN statistic/transform/JVP/VJP arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,missing entries use fitted statistic; derivative entries are zero
simple_imputer,vjp,constant,fortml,cpu,pass,12,4,,,128,1.222578125e-07,vjp_sum,49.120000000000005,0.0,complete NumPy NaN statistic/transform/JVP/VJP arrays,3.14.6,2.5.1,1.9.0,unavailable,unavailable,unavailable,d45914570267287b6b8c86d74513aff7c308b02e,8be00c5f2ad62463da1c7b4bc3efa559908a4529,gfortran,-O3,missing entries use fitted statistic; derivative entries are zero
