workload,loss,phase,backend,device,status,metric,value,max_abs_error,seconds,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
boosted_leaf_objective,squared,lightgbm_value_gradient,fortml,cpu,pass,value_error,0.0,0.0,0.007823555963113904,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,3b6271b4a01ca218246b6bc2eaf95574c38ead63,80ca869ba67be2ffab99e87db4dd9fb772d42903,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,squared,lightgbm_value_gradient,fortml,cpu,pass,gradient_error,0.0,0.0,0.007823555963113904,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,3b6271b4a01ca218246b6bc2eaf95574c38ead63,80ca869ba67be2ffab99e87db4dd9fb772d42903,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,squared,lightgbm_jvp,fortml,cpu,pass,jvp_error,0.0,0.0,0.007823555963113904,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,3b6271b4a01ca218246b6bc2eaf95574c38ead63,80ca869ba67be2ffab99e87db4dd9fb772d42903,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,squared,lightgbm_vjp,fortml,cpu,pass,vjp_error,0.0,0.0,0.007823555963113904,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,3b6271b4a01ca218246b6bc2eaf95574c38ead63,80ca869ba67be2ffab99e87db4dd9fb772d42903,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,squared,lightgbm_hvp,fortml,cpu,pass,hvp_error,0.0,0.0,0.007823555963113904,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,3b6271b4a01ca218246b6bc2eaf95574c38ead63,80ca869ba67be2ffab99e87db4dd9fb772d42903,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,logistic,lightgbm_value_gradient,fortml,cpu,pass,value_error,0.0,0.0,0.007823555963113904,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,3b6271b4a01ca218246b6bc2eaf95574c38ead63,80ca869ba67be2ffab99e87db4dd9fb772d42903,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,logistic,lightgbm_value_gradient,fortml,cpu,pass,gradient_error,0.0,0.0,0.007823555963113904,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,3b6271b4a01ca218246b6bc2eaf95574c38ead63,80ca869ba67be2ffab99e87db4dd9fb772d42903,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,logistic,lightgbm_jvp,fortml,cpu,pass,jvp_error,0.0,0.0,0.007823555963113904,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,3b6271b4a01ca218246b6bc2eaf95574c38ead63,80ca869ba67be2ffab99e87db4dd9fb772d42903,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,logistic,lightgbm_vjp,fortml,cpu,pass,vjp_error,0.0,0.0,0.007823555963113904,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,3b6271b4a01ca218246b6bc2eaf95574c38ead63,80ca869ba67be2ffab99e87db4dd9fb772d42903,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,logistic,lightgbm_hvp,fortml,cpu,pass,hvp_error,0.0,0.0,0.007823555963113904,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,3b6271b4a01ca218246b6bc2eaf95574c38ead63,80ca869ba67be2ffab99e87db4dd9fb772d42903,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,logistic,fortopt_lbfgsb,fortml,cpu,pass,gradient_norm,9.301326002042344e-08,,0.007823555963113904,FortOpt projected L-BFGS-B convergence,3.14.6,2.5.1,3b6271b4a01ca218246b6bc2eaf95574c38ead63,80ca869ba67be2ffab99e87db4dd9fb772d42903,gfortran,-O3,iterations=12; coordinates=3
boosted_leaf_objective,both,capability_check,fortml,cuda,unavailable,status_code,3.0,,0.007823555963113904,declared resident-device contract,3.14.6,2.5.1,3b6271b4a01ca218246b6bc2eaf95574c38ead63,80ca869ba67be2ffab99e87db4dd9fb772d42903,gfortran,-O3,FORTNUM_NOT_IMPLEMENTED; no host fallback
