workload,loss,phase,backend,device,status,metric,value,max_abs_error,seconds,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
boosted_leaf_objective,squared,lightgbm_value_gradient,fortml,cpu,pass,value_error,0.0,0.0,0.01076442195335403,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,c62ee66543de67349f96a241fabd5be7c2bfb757,387b378e928b67182d1da805729b28c1353bc10e+dirty,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,squared,lightgbm_value_gradient,fortml,cpu,pass,gradient_error,0.0,0.0,0.01076442195335403,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,c62ee66543de67349f96a241fabd5be7c2bfb757,387b378e928b67182d1da805729b28c1353bc10e+dirty,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,squared,lightgbm_jvp,fortml,cpu,pass,jvp_error,0.0,0.0,0.01076442195335403,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,c62ee66543de67349f96a241fabd5be7c2bfb757,387b378e928b67182d1da805729b28c1353bc10e+dirty,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,squared,lightgbm_vjp,fortml,cpu,pass,vjp_error,0.0,0.0,0.01076442195335403,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,c62ee66543de67349f96a241fabd5be7c2bfb757,387b378e928b67182d1da805729b28c1353bc10e+dirty,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,squared,lightgbm_hvp,fortml,cpu,pass,hvp_error,0.0,0.0,0.01076442195335403,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,c62ee66543de67349f96a241fabd5be7c2bfb757,387b378e928b67182d1da805729b28c1353bc10e+dirty,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,logistic,lightgbm_value_gradient,fortml,cpu,pass,value_error,0.0,0.0,0.01076442195335403,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,c62ee66543de67349f96a241fabd5be7c2bfb757,387b378e928b67182d1da805729b28c1353bc10e+dirty,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,logistic,lightgbm_value_gradient,fortml,cpu,pass,gradient_error,0.0,0.0,0.01076442195335403,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,c62ee66543de67349f96a241fabd5be7c2bfb757,387b378e928b67182d1da805729b28c1353bc10e+dirty,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,logistic,lightgbm_jvp,fortml,cpu,pass,jvp_error,0.0,0.0,0.01076442195335403,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,c62ee66543de67349f96a241fabd5be7c2bfb757,387b378e928b67182d1da805729b28c1353bc10e+dirty,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,logistic,lightgbm_vjp,fortml,cpu,pass,vjp_error,0.0,0.0,0.01076442195335403,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,c62ee66543de67349f96a241fabd5be7c2bfb757,387b378e928b67182d1da805729b28c1353bc10e+dirty,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,logistic,lightgbm_hvp,fortml,cpu,pass,hvp_error,0.0,0.0,0.01076442195335403,independent NumPy fixed-stump weighted loss,3.14.6,2.5.1,c62ee66543de67349f96a241fabd5be7c2bfb757,387b378e928b67182d1da805729b28c1353bc10e+dirty,gfortran,-O3,"packed [base_score, leaf weights]; split structure fixed"
boosted_leaf_objective,logistic,fortopt_lbfgsb,fortml,cpu,pass,gradient_norm,9.301326002042344e-08,,0.01076442195335403,FortOpt projected L-BFGS-B convergence,3.14.6,2.5.1,c62ee66543de67349f96a241fabd5be7c2bfb757,387b378e928b67182d1da805729b28c1353bc10e+dirty,gfortran,-O3,iterations=12; coordinates=3
boosted_leaf_objective,both,capability_check,fortml,cuda,unavailable,status_code,3.0,,0.01076442195335403,declared resident-device contract,3.14.6,2.5.1,c62ee66543de67349f96a241fabd5be7c2bfb757,387b378e928b67182d1da805729b28c1353bc10e+dirty,gfortran,-O3,FORTNUM_NOT_IMPLEMENTED; no host fallback
